"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
827,"2018-11-01 03:07:02.8100","2018-11-01 03:20:50.2220",88,"Inman Square at Vellucci Plaza / Hampshire St",42.374035,-71.101427,171,"Bunker Hill Community College",42.37408991426522,-71.06905996799469,3648,"Customer",1969,0
1312,"2018-11-01 03:10:27.7590","2018-11-01 03:32:20.6050",36,"Copley Square - Dartmouth St at Boylston St",42.34993463611888,-71.07738554477692,6,"Cambridge St at Joy St",42.36121165307985,-71.06530619789737,1630,"Customer",1969,0
2062,"2018-11-01 03:11:05.8610","2018-11-01 03:45:28.4160",46,"Christian Science Plaza - Massachusetts Ave at Westland Ave",42.3436658245146,-71.08582377433777,55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,4156,"Customer",1997,1
490,"2018-11-01 03:11:11.3320","2018-11-01 03:19:21.5540",59,"Chinatown Gate Plaza",42.351356,-71.059367,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.34807412317439,-71.07657015323639,2424,"Subscriber",1993,1
1063,"2018-11-01 03:19:37.6350","2018-11-01 03:37:21.3130",57,"Columbus Ave at Massachusetts Ave",42.340542615516355,-71.08138847914233,88,"Inman Square at Vellucci Plaza / Hampshire St",42.374035,-71.101427,2855,"Subscriber",1993,1
236,"2018-11-01 03:22:14.6260","2018-11-01 03:26:11.3290",67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,178,"MIT Pacific St at Purrington St",42.35957320109044,-71.10129475593567,3277,"Subscriber",1993,1
266,"2018-11-01 03:22:17.1340","2018-11-01 03:26:43.4500",53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,3556,"Subscriber",1996,1
326,"2018-11-01 03:29:09.4770","2018-11-01 03:34:36.0180",67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,53,"Beacon St at Massachusetts Ave",42.35082680669095,-71.0898108780384,3917,"Subscriber",1991,2
271,"2018-11-01 03:29:09.2530","2018-11-01 03:33:40.9870",116,"359 Broadway - Broadway at Fayette Street",42.370803,-71.104412,79,"Beacon St at Washington / Kirkland",42.37842,-71.105668,3741,"Subscriber",1989,1
612,"2018-11-01 03:29:11.1520","2018-11-01 03:39:23.5660",12,"Ruggles T Stop - Columbus Ave at Melnea Cass Blvd",42.33624444796878,-71.08798563480377,282,"Stony Brook T Stop",42.316966,-71.104374,184,"Subscriber",1995,1
